file,id,sku,brand,name
"electric-fireplaces-scraped.json","","REM-WM-SLIM-65","Remii","Remii 65 Inch WM Slim Smart Electric Fireplace"
"electric-fireplaces-scraped.json","","LDH-VEW60-A","Litedeer","Litedeer Homes 60 Inch Mercury Smart Water Vapor Fireplace with See Through Option"
"electric-fireplaces-scraped.json","","HLM-FE9021","SEI","SEI 60 Inch Canyon Heights Electric Fireplace with Faux Stacked Stone Mantel"
"electric-fireplaces-scraped.json","","HLM-FR9310","SEI","SEI 48 Inch Claremont Corner Electric Fireplace with Storage"
"electric-fireplaces-scraped.json","","LDH-VEW40-A","Litedeer","Litedeer Homes 40 Inch Mercury Smart Water Vapor Fireplace with See Through Option"
"electric-fireplaces-scraped.json","","REM-WM-34","Remii","Remii 33 Inch WM Smart Indoor/Outdoor Electric Fireplace"
"electric-fireplaces-scraped.json","","LDH-VEW50-A","Litedeer","Litedeer Homes 50 Inch Mercury Smart Water Vapor Fireplace with See Through Option"
"electric-fireplaces-scraped.json","","REM-102735-XS","Remii","Remii 35 Inch Extra Slim Electric Linear Fireplace"
"electric-fireplaces-scraped.json","","HLM-FR8543","SEI","SEI 70 Inch Tennyson Electric Fireplace with Side Bookcases"
"electric-fireplaces-scraped.json","","REM-WM-SLIM-55","Remii","Remii 55 Inch WM Slim Smart Electric Fireplace"
"electric-fireplaces-scraped.json","","SDZ-ZHS-432","SunnyDaze","SunnyDaze 42 Inch Black Curved Face Color Changing Wall Electric Fireplace"
"electric-fireplaces-scraped.json","","REM-102755-XS","Remii","Remii 55 Inch Extra Slim Electric Linear Fireplace"
"electric-fireplaces-scraped.json","","HLM-FR9392","SEI","SEI 52 Inch Redden Corner Convertible Electric Fireplace"
"electric-fireplaces-scraped.json","","HLM-FE9392","SEI","SEI 52 Inch Redden Electric Fireplace with Convertible Mantel"
"electric-fireplaces-scraped.json","","LDH-ZEF48XC","Litedeer","Litedeer Homes 48 Inch Latitude II Push-In Linear Electric Fireplace with Fire Media"
"electric-fireplaces-scraped.json","","JRH-EF10263","JR","JR Home 60 Inch ActiveFlame Mirage 2 Built-In - Wall Mount - or Freestanding Electric Fireplace"
"electric-fireplaces-scraped.json","","REM-102745-XS","Remii","Remii 45 Inch Extra Slim Electric Linear Fireplace"
"electric-fireplaces-scraped.json","","HLM-FR8525","SEI","SEI 72 Inch Gallatin Electric Fireplace with Side Bookcases"
"electric-fireplaces-scraped.json","","SDZ-ZHS-425","SunnyDaze","SunnyDaze 35 3/4 Inch Black Curved Face Color Changing Wall Electric Fireplace"
"electric-fireplaces-scraped.json","","DYN-DY-BTX82","Dynasty","Dynasty Fireplaces 82 Inch Cascade Smart Flush Mount Linear Electric Fireplace"
"electric-fireplaces-scraped.json","","REM-102755-DE","Remii","Remii 55 Inch Deep Electric Linear Fireplace"
"electric-fireplaces-scraped.json","","JRH-EF10145","JR","JR Home 60 Inch Pro Series Recessed or Wall Mount Black Diamond Electric Fireplace"
"electric-fireplaces-scraped.json","","HLM-FE9321","SEI","SEI 48 Inch Highgate Electric Fireplace with Stone Mantel"
"electric-fireplaces-scraped.json","","HLM-FE1095959","SEI","SEI 50 Inch Dakesbury Electric Fireplace with Faux Stone Mantel"
"electric-fireplaces-scraped.json","","DYN-DY-BTX74","Dynasty","Dynasty Fireplaces 74 Inch Cascade Smart Flush Mount Linear Electric Fireplace"
"electric-fireplaces-scraped.json","","DYN-DY-BTX64","Dynasty","Dynasty Fireplaces 64 Inch Cascade Smart Flush Mount Linear Electric Fireplace"
"electric-fireplaces-scraped.json","","HLM-FC1063059","Holly","Holly & Martin 33 Inch Frescan Color Changing Electric Fireplace"
"electric-fireplaces-scraped.json","","LDH-ZEF45XC","Litedeer","Litedeer Homes 45 Inch Latitude Built-In Linear Electric Fireplace with Fire Media"
"electric-fireplaces-scraped.json","","REM-CLASSIC-SLIM-33","Remii","Remii Classic Slim 33 Smart Electric Fireplace"
"electric-fireplaces-scraped.json","","SDZ-LOE-381","SunnyDaze","SunnyDaze 50 Inch Black Indoor Wall-Mounted or Recessed Electric Fireplace"
"electric-fireplaces-scraped.json","","LDH-ZEF32A","Litedeer","Litedeer Homes 32 Inch Litestar Smart Electric Fireplace Insert with Breathing Oak Logs (Modern)"
"electric-fireplaces-scraped.json","","HLM-FE9278","SEI","SEI 44 Inch Calvert Electric Fireplace with Carved Mantel"
"electric-fireplaces-scraped.json","","SDZ-LOE-398","SunnyDaze","SunnyDaze 50 Inch White Indoor Wall-Mounted or Recesssed Electric Fireplace"
"electric-fireplaces-scraped.json","","HLM-FC1137456","SEI","SEI 46 Inch Dilvon Color Changing Electric Fireplace with Media Cabinet"
"electric-fireplaces-scraped.json","","DYN-DY-BTX52","Dynasty","Dynasty Fireplaces 52 Inch Cascade Smart Flush Mount Linear Electric Fireplace"
"electric-fireplaces-scraped.json","","JRH-EF-WM503","JR","JR Home 50 Inch Kennedy II Recessed or Wall Mounted Electric Fireplace"
"electric-fireplaces-scraped.json","","JRH-EF-WM504","JR","JR Home 60 Inch Kennedy II Recessed or Wall Mounted Electric Fireplace"
"electric-fireplaces-scraped.json","","JRH-EF10185","JR","JR Home 42 Inch ActiveFlame Pro Series Built-In Electric Fireplace"
"electric-fireplaces-scraped.json","","LDH-ZEF50T","Litedeer","Litedeer Homes 50 Inch WarmCastle 3 Side Smart Control Electric Fireplace with Crystal Media"
"electric-fireplaces-scraped.json","","LDH-ZEF65X","Litedeer","Litedeer Homes Latitude 65 Inch Ultra Slim Built-in Electric Linear Fireplace"
"electric-fireplaces-scraped.json","","LDH-ZEF58VC","Litedeer","Litedeer Homes 58 Inch Latitude II Push-In Linear Electric Fireplace with Fire Media"
"electric-fireplaces-scraped.json","","SEI-37-003-023-6-39","SEI","SEI 45 Inch Cardona Electric Fireplace with Mantel"
"electric-fireplaces-scraped.json","","SEI-FE9278","SEI","SEI 45 Inch Calvert Carved Electric Fireplace with Mantel"
"electric-fireplaces-scraped.json","","SEI-FE9275","SEI","SEI 45 Inch Sicilian Harvest Electric Fireplace with Mantel"
"electric-fireplaces-scraped.json","","REM-102765-XS","Remii","Remii 65 Inch Extra Slim Electric Linear Fireplace"
"electric-fireplaces-scraped.json","","HLM-FR9278","SEI","SEI 44 Inch Calvert Electric Fireplace with Decorative Carved Mantel"
"electric-fireplaces-scraped.json","","HLM-FE9275","SEI","SEI 45 Inch Sicilian Electric Fireplace with Harvest Mantel"
"electric-fireplaces-scraped.json","","HLM-FC1009359","SEI","SEI 50 Inch Torlington Color Changing Electric Fireplace with Herringbone Surround"
"electric-fireplaces-scraped.json","","REM-102745-XT","Remii","Remii 45 Inch Extra Tall Electric Linear Fireplace"
"electric-fireplaces-scraped.json","","LDH-ZEF55VC","Litedeer","Litedeer Homes 55 Inch Latitude Built-In Linear Electric Fireplace with Fire Media"
"electric-fireplaces-scraped.json","","HLM-FC8532","SEI","SEI 72 Inch Chantilly Color Changing Electric Fireplace with Bookcases"
"electric-fireplaces-scraped.json","","HLM-FE1080859","SEI","SEI 45 Inch Drovling Electric Fireplace with Marble Mantel"
"electric-fireplaces-scraped.json","","REM-CLASSIC-SLIM-26","Remii","Remii Classic Slim 26 Smart Electric Fireplace"
"electric-fireplaces-scraped.json","","HLM-FE9310","SEI","SEI 48 Inch Claremont Electric Fireplace with Convertible Media Storage"
"electric-fireplaces-scraped.json","","SDZ-LOE-374","SunnyDaze","SunnyDaze 40 Inch Black Indoor Wall-Mounted or Recessed Electric Fireplace"
"electric-fireplaces-scraped.json","","HLM-FE9365","SEI","SEI 48 Inch Jacksdale Electric Fireplace with Faux Stone Mantel"
"electric-fireplaces-scraped.json","","HLM-FE9362","SEI","SEI 46 Inch Seneca Electric Fireplace with Faux Brick Mantel"
"electric-fireplaces-scraped.json","","HLM-FC9310","SEI","SEI 48 Inch Claremont Color Changing Corner Convertible Electric Fireplace"
"electric-fireplaces-scraped.json","","HLM-FE1063059","Holly","Holly & Martin 33 Inch Frescan Contemporary Electric Fireplace"
"electric-fireplaces-scraped.json","","HLM-FR1095959","SEI","SEI 50 Inch Dakesbury Electric Fireplace with Faux Stone Surround"
"electric-fireplaces-scraped.json","","HLM-FR9359","SEI","SEI 45 Inch Grantham Corner Convertible Electric Fireplace"
"electric-fireplaces-scraped.json","","HLM-FR9275","SEI","SEI 45 Inch Sicilian Electric Fireplace with Classic Mantel"
"electric-fireplaces-scraped.json","","DYN-DY-BTS40","Dynasty","Dynasty Fireplaces 40 Inch Melody Bay Front Smart Electric Fireplace with Corner Options"
"electric-fireplaces-scraped.json","","LDH-ZEF72T","Litedeer","Litedeer Homes 72 Inch WarmCastle 3 Side Smart Control Electric Fireplace with Crystal Media"
"electric-fireplaces-scraped.json","","LDH-ZEF58V","Litedeer","Litedeer Homes Latitude II 58 Inch Seamless Push-in Electric Linear Fireplace"
"electric-fireplaces-scraped.json","","LDH-ZEF60T","Litedeer","Litedeer Homes 60 Inch WarmCastle 3 Side Smart Control Electric Fireplace with Crystal Media"
"electric-fireplaces-scraped.json","","REM-102755-XT","Remii","Remii 55 Inch Extra Tall Electric Linear Fireplace"
"electric-fireplaces-scraped.json","","HLM-FR9321","SEI","SEI 48 Inch Highgate Electric Fireplace with Faux Surround"
"electric-fireplaces-scraped.json","","HLM-FR1080859","SEI","SEI 45 Inch Drovling Electric Fireplace with Marble Surround"
"electric-fireplaces-scraped.json","","REM-30-BAY-SLIM","Remii","Remii Smart Built-In Bay Front Slim 30 Electric Fireplace"
"electric-fireplaces-scraped.json","","HLM-FE1009359","SEI","SEI 50 Inch Torlington Electric Fireplace with Marble Tiled Mantel"
"electric-fireplaces-scraped.json","","HLM-FE9359","SEI","SEI 45 Inch Grantham Corner Convertible Electric Fireplace"
"electric-fireplaces-scraped.json","","HLM-FE1137556","SEI","SEI 47 Inch Austindale Electric Fireplace with Media Storage"
"electric-fireplaces-scraped.json","","HLM-FR1136956","SEI","SEI 54 Inch Wilconia Electric Fireplace with Carved Details Media Console"
"electric-fireplaces-scraped.json","","ORT-US150TELXXXXXBXXX","Ortal","Ortal 60 Inch Holographic Linear Bay Front Electric Fireplace With Corner Options"
"electric-fireplaces-scraped.json","","LDH-ZEF45X","Litedeer","Litedeer Homes Latitude 45 Inch Ultra Slim Built-in Electric Linear Fireplace"
"electric-fireplaces-scraped.json","","CMB-CAM50RECWMEF-2BLK","Cambridge","Cambridge 50 Inch Recessed or Wall Mount Electric Fireplace with Logs"
"electric-fireplaces-scraped.json","","HLM-FR9362","SEI","SEI 46 Inch Seneca Electric Fireplace with Faux Stone Surround"
"electric-fireplaces-scraped.json","","HLM-FC1119656","SEI","SEI 54 Inch Hollesborne Color Changing Electric Fireplace with Media Storage"
"electric-fireplaces-scraped.json","","HLM-FR8532","SEI","SEI 72 Inch Chantilly Electric Fireplace with Side Bookcases"
"electric-fireplaces-scraped.json","","LST-LDFP0009US-BLK","LifeSmart","LifeSmart 72 Inch Glass Media Freestanding Infrared Electric Fireplace with TV Shelf"
"electric-fireplaces-scraped.json","","CMB-CAM5332-1WHTLG3","Cambridge","Cambridge 53 Inch Sawyer Electric Fireplace with Log Set and Console Mantel"
"electric-fireplaces-scraped.json","","HLM-FC1137256","SEI","SEI 54 Inch Lannington Color Changing Fireplace with Media Storage"
"electric-fireplaces-scraped.json","","HLM-FC1095656","SEI","SEI 60 Inch Delgrave Color Changing Electric Fireplace with Media Storage"
"electric-fireplaces-scraped.json","","HLM-FC1096059","SEI","SEI 48 Inch Birkover Color Changing Electric Fireplace with Marble Surround"
"electric-fireplaces-scraped.json","","HLM-FE1009659","SEI","SEI 44 Inch Stadderly Electric Fireplace with Mirrored Mantel"
"electric-fireplaces-scraped.json","","HLM-FE1027359","SEI","SEI 44 Inch Trandling Electric Fireplace with Mirrored Faux Marble Mantel"
"electric-fireplaces-scraped.json","","HLM-FE1095756","SEI","SEI 60 Inch Dibbonly Electric Fireplace with Media Storage"
"electric-fireplaces-scraped.json","","HLM-FE1096059","SEI","SEI 48 Inch Birkover Electric Fireplace with Marbled Surround Mantel"
"electric-fireplaces-scraped.json","","HLM-FR1010356","SEI","SEI 58 Inch Toppington Electric Fireplace with Mirrored Media Console"
"electric-fireplaces-scraped.json","","HLM-FR1105059","SEI","SEI 48 Inch Darvingmore Electric Fireplace with Marble Surround"
"electric-fireplaces-scraped.json","","HLM-FE1105059","SEI","SEI 48 Inch Darvingmore Electric Fireplace with Marbled Surround Mantel"
"electric-fireplaces-scraped.json","","HLM-FE8525","SEI","SEI 72 Inch Gallatin Electric Fireplace with Faux Stone Bookcase"
"electric-fireplaces-scraped.json","","HLM-FR1126959","SEI","SEI 46 Inch Wansford Contemporary Electric Fireplace with Mantel"
"electric-fireplaces-scraped.json","","HLM-FC1080859","SEI","SEI 45 Inch Drovling Color Changing Electric Fireplace with Marble Mantel"
"electric-fireplaces-scraped.json","","HLM-FE1010356","SEI","SEI 58 Inch Toppington Electric Fireplace with Mirrored Media Console"
"electric-fireplaces-scraped.json","","HLM-FE1095656","SEI","SEI 60 Inch Delgrave Electric Fireplace with Media Storage"
"electric-fireplaces-scraped.json","","HLM-FC1080759","SEI","SEI 50 Inch Hebbington Color Changing Electric Fireplace with Marble Surround"
"electric-fireplaces-scraped.json","","HLM-FC1137859","SEI","SEI 44 Inch Trandling Color Changing Electric Fireplace with Faux Stone Surround"
"electric-fireplaces-scraped.json","","HLM-FR9664","SEI","SEI 45 Inch Cardona Electric Fireplace with Faux Marble Surround"
"electric-fireplaces-scraped.json","","HLM-FC1105059","SEI","SEI 48 Inch Darvingmore Color Changing Electric Fireplace with Marble Surround"
"electric-fireplaces-scraped.json","","HLM-FE1028059","SEI","SEI 44 Inch Lirrington Stainless Steel Electric Fireplace with Mantel"
"electric-fireplaces-scraped.json","","HLM-FR1028059","SEI","SEI 44 Inch Lirrington Stainless Steel Electric Fireplace"
"electric-fireplaces-scraped.json","","HLM-FR1095656","SEI","SEI 60 Inch Delgrave Electric Fireplace with Media Cabinet"
"electric-fireplaces-scraped.json","","HLM-FC1010356","SEI","SEI 58 Inch Toppington Color Changing Electric Fireplace with Mirrored Media Center"
"electric-fireplaces-scraped.json","","HLM-FC1095959","SEI","SEI 50 Inch Dakesbury Color Changing Electric Fireplace with Faux Stone Surround"
"electric-fireplaces-scraped.json","","HLM-FR1137556","SEI","SEI 47 Inch Austindale Electric Fireplace with Media Storage"
"electric-fireplaces-scraped.json","","HLM-FR9396","SEI","SEI 45 Inch Nobleman Electric Fireplace with Tile Surround"
"electric-fireplaces-scraped.json","","HLM-FE8526","SEI","SEI 72 Inch Gallatin Electric Fireplace with Faux Stone Bookcase"
"electric-fireplaces-scraped.json","","HLM-FE9396","SEI","SEI 45 Inch Nobleman Electric Fireplace with Tiled Mantel"
"electric-fireplaces-scraped.json","","HLM-FR1009659","SEI","SEI 44 Inch Stadderly Electric Fireplace with Mirrored Surround"
"electric-fireplaces-scraped.json","","HLM-FE1137256","SEI","SEI 54 Inch Lannington Electric Fireplace with Media Storage"
"electric-fireplaces-scraped.json","","HLM-FE1136956","SEI","SEI 54 Inch Wilconia Electric Media Fireplace with Carved Details"
"electric-fireplaces-scraped.json","","HLM-FR1063059","SEI","SEI 33 Inch Frescan Contemporary Electric Fireplace with Open Base"
"electric-fireplaces-scraped.json","","HLM-FR1095756","SEI","SEI 60 Inch Dibbonly Electric Fireplace with Media Storage"
"electric-fireplaces-scraped.json","","HLM-FC1095859","SEI","SEI Cardington Contemporary Color Changing Fireplace with Mantel"
"electric-fireplaces-scraped.json","","HLM-FC1136956","SEI","SEI 54 Inch Wilconia Color Changing Electric Fireplace with Media Storage"
"electric-fireplaces-scraped.json","","LST-ZCFP1032US","LifeSmart","LifeSmart 60 Inch Freestanding Infrared Electric Fireplace with TV Media Mantel Shelf"
"electric-fireplaces-scraped.json","","HLM-FE1137859","SEI","SEI 44 Inch Trandling Electric Fireplace with Mirrored Faux Marble Mantel"
"electric-fireplaces-scraped.json","","HLM-FE1137456","SEI","SEI 46 Inch Dilvon Electric Fireplace with Media Storage"
"electric-fireplaces-scraped.json","","HLM-FE1126959","SEI","SEI 45 Inch Wansford Electric Fireplace with Contemporary Mantel"
"electric-fireplaces-scraped.json","","HLM-FR1080759","SEI","SEI 50 Inch Hebbington Electric Fireplace with Marble Surround"
"electric-fireplaces-scraped.json","","HLM-FR1096059","SEI","SEI 48 Inch Birkover Electric Fireplace with Marble Surround"
"electric-fireplaces-scraped.json","","HLM-FR9365","SEI","SEI 48 Inch Jacksdale Electric Fireplace with Faux Stone Surround"
"electric-fireplaces-scraped.json","","HLM-FR1009359","SEI","SEI 50 Inch Torlington Electric Fireplace with Marble Tiled Surround"
"electric-fireplaces-scraped.json","","HLM-FR1027359","SEI","SEI 44 Inch Trandling Electric Fireplace with Faux Marble Surround"
"electric-fireplaces-scraped.json","","HLM-FR1137256","SEI","SEI 54 Inch Lannington Electric Fireplace with Brown Media Storage Stand"
"electric-fireplaces-scraped.json","","HLM-FE1080759","SEI","SEI 50 Inch Hebbington Electric Fireplace with Tiled Marble Mantel"
"electric-fireplaces-scraped.json","","HLM-FC1126959","SEI","SEI 46 Inch Wansford Contemporary Color Changing Fireplace with Mantel"
"electric-fireplaces-scraped.json","","HLM-FE1095859","SEI","SEI 52 Inch Cardington Electric Fireplace with Industrial Mantel"
"electric-fireplaces-scraped.json","","HLM-FC1137556","SEI","SEI 47 Inch Austindale Color Changing Electric Fireplace with Media Cabinet"
"electric-fireplaces-scraped.json","","HLM-FC1027359","SEI","SEI 44 Inch Trandling Color Changing Electric Fireplace with Faux Stone Surround"
"electric-fireplaces-scraped.json","","HLM-FC1095756","SEI","SEI 60 Inch Dibbonly Color Changing Electric Fireplace with Media Storage"
"electric-fireplaces-scraped.json","","HLM-FC1009659","SEI","SEI 44 Inch Stadderly Changing Electric Fireplace with Mirrored Surround"
"electric-fireplaces-scraped.json","","HLM-FR1095859","SEI","SEI 52 Inch Cardington Contemporary Electric Fireplace with Mantel"
"electric-fireplaces-scraped.json","","HLM-FR1137456","SEI","SEI 46 Inch Dilvon Electric Media Fireplace with Storage"
"electric-fireplaces-scraped.json","","ORT-E-LECTRA50","Ortal","Ortal E-Lectra 50 Inch Traditional Electric Fireplace with Corner Options"
"electric-fireplaces-scraped.json","","JRH-EF10260","JR","JR Home 36 Inch ActiveFlame Mirage 2 Built-In - Wall Mount - or Freestanding Linear Electric Fireplace"
"electric-fireplaces-scraped.json","","FRF-FLR-FP-SUITE-MILAN-GREY","Flamerite","Flamerite Fires 47 Inch Grey Milan Suite Wall Mantel with Slim Line 750S Electric Fireplace"
"electric-fireplaces-scraped.json","","DYN-DY-BFM76","Dynasty","Dynasty Fireplaces 76 Inch Allegro Smart Flush Mount or Built-In Linear Electric Fireplace"
"electric-fireplaces-scraped.json","","DYN-DY-BFM58","Dynasty","Dynasty Fireplaces 58 Inch Allegro Smart Flush Mount or Built-In Linear Electric Fireplace"
"electric-fireplaces-scraped.json","","FRF-FLR-FP-EFX-SL-1000","Flamerite","Flamerite Fires 40 Inch E-FX 1000 Slim Line Built In Linear Electric Fireplace"
"electric-fireplaces-scraped.json","","DYN-DY-BTS60","Dynasty","Dynasty Fireplaces 64 Inch Melody Bay Front Smart Electric Fireplace with Corner Options"
"electric-fireplaces-scraped.json","","DYN-DY-BTS35","Dynasty","Dynasty Fireplaces 35 Inch Melody Bay Front Smart Electric Fireplace with Corner Options"
"electric-fireplaces-scraped.json","","FRF-FLR-FP-EFX-1300","Flamerite","Flamerite Fires 50 Inch E-FX 1300 Linear Bay Front Electric Fireplace with Corner Options"
"electric-fireplaces-scraped.json","","FRF-FLR-FP-SUITE-CAPELLA-WHITE","Flamerite","Flamerite Fires 45 Inch White Capella Suite Mantel with Slim Line 600 E-FX Electric Fireplace"
"electric-fireplaces-scraped.json","","FRF-FLR-FP-EFX-SL-750T","Flamerite","Flamerite Fires 30 Inch E-FX 750 Tall Slim Line Built In Electric Fireplace"
"electric-fireplaces-scraped.json","","JRH-EF-WM502","JR","JR Home 42 Inch Kennedy II Recessed or Wall Mounted Electric Fireplace"
"electric-fireplaces-scraped.json","","JRH-EF10262","JR","JR Home 48 Inch ActiveFlame Mirage 2 Built-In - Wall Mount - or Freestanding Electric Fireplace"
"electric-fireplaces-scraped.json","","FRF-FLR-FP-EFX-SL-750S","Flamerite","Flamerite Fires 30 Inch E-FX 750S Slim Line Built-In Linear Electric Fireplace"
"electric-fireplaces-scraped.json","","FRF-FLR-FP-EFX-1000","Flamerite","Flamerite Fires 40 Inch E-FX 1000 Linear Bay Front Electric Fireplace with Corner Options"
"electric-fireplaces-scraped.json","","JRH-EF10144","JR","JR Home 50 Inch Pro Series Recessed or Wall Mount Black Diamond Electric Fireplace"
"electric-fireplaces-scraped.json","","ORT-E-LECTRA40","Ortal","Ortal E-Lectra 40 Inch Traditional Electric Fireplace with Corner Options"
"electric-fireplaces-scraped.json","","ORT-E-LECTRA32","Ortal","Ortal E-Lectra 32 Inch Traditional Electric Fireplace with Corner Options"
"electric-fireplaces-scraped.json","","ORT-E-LECTRA70","Ortal","Ortal E-Lectra 70 Inch Traditional Electric Fireplace with Corner Options"
"electric-fireplaces-scraped.json","","ORT-US180TELXXXXXBXXX","Ortal","Ortal 74 Inch Holographic Linear Bay Front Electric Fireplace With Corner Options"
"electric-fireplaces-scraped.json","","SUS-SH-FP-SIG-40","Sustainable","Sustainable Hearth 40 Inch Signal Bay Front Linear Electric Fireplace with Corner Options"
"electric-fireplaces-scraped.json","","ORT-E-LECTRA60","Ortal","Ortal E-Lectra 60 Inch Traditional Electric Fireplace with Corner Options"
"electric-fireplaces-scraped.json","","FRF-FLR-FP-EFX-1500","Flamerite","Flamerite Fires 60 Inch E-FX 1500 Linear Bay Front Electric Fireplace with Corner Options"
"electric-fireplaces-scraped.json","","FRF-FLR-FP-EFX-1800","Flamerite","Flamerite Fires 72 Inch E-FX 1800 Linear Bay Front Electric Fireplace with Corner Options"
"electric-fireplaces-scraped.json","","FRF-FLR-FP-EFX-SL-600","Flamerite","Flamerite Fires 24 Inch E-FX 600 Slim Line Built In Electric Fireplace"
"electric-fireplaces-scraped.json","","LDH-ZEF68XC","Litedeer","Litedeer Homes 68 Inch Latitude II Push-In Linear Electric Fireplace with Fire Media"
"electric-fireplaces-scraped.json","","LDH-ZEF78V","Litedeer","Litedeer Homes Latitude II 78 Inch Seamless Push-in Electric Linear Fireplace"
"electric-fireplaces-scraped.json","","LDH-ZEF65XC","Litedeer","Litedeer Homes 65 Inch Latitude Built-In Linear Electric Fireplace with Fire Media"
"electric-fireplaces-scraped.json","","LDH-ZEF68X","Litedeer","Litedeer Homes Latitude II 68 Inch Seamless Push-in Electric Linear Fireplace"
"electric-fireplaces-scraped.json","","LDH-ZEF68XS","Litedeer","Litedeer Homes Gloria II 68 Inch Seamless Push-in Electric Linear Fireplace"
"electric-fireplaces-scraped.json","","LDH-ZEF48X","Litedeer","Litedeer Homes Latitude II 48 Inch Seamless Push-in Electric Linear Fireplace"
"electric-fireplaces-scraped.json","","LDH-ZEF75V","Litedeer","Litedeer Homes Latitude 75 Inch Ultra Slim Built-in Electric Linear Fireplace"
"electric-fireplaces-scraped.json","","LDH-ZEF35A","Litedeer","Litedeer Homes 35 Inch Litestar Smart Electric Fireplace Insert with Breathing Oak Logs (Modern)"
"electric-fireplaces-scraped.json","","LDH-ZEF48XS","Litedeer","Litedeer Homes Gloria II 48 Inch Seamless Push-in Electric Linear Fireplace"
"electric-fireplaces-scraped.json","","LDH-ZEF78VS","Litedeer","Litedeer Homes Gloria II 78 Inch Seamless Push-in Electric Linear Fireplace"
"electric-fireplaces-scraped.json","","LDH-ZEF78VC","Litedeer","Litedeer Homes 78 Inch Latitude II Push-In Linear Electric Fireplace with Fire Media"
"electric-fireplaces-scraped.json","","LDH-ZEF55V","Litedeer","Litedeer Homes Latitude 55 Inch Ultra Slim Built-in Electric Linear Fireplace"
"electric-fireplaces-scraped.json","","LDH-ZEF58VS","Litedeer","Litedeer Homes Gloria II 58 Inch Seamless Push-in Electric Linear Fireplace"
"electric-fireplaces-scraped.json","","LDH-ZEF75VC","Litedeer","Litedeer Homes 75 Inch Latitude Built-In Linear Electric Fireplace with Fire Media"
"electric-fireplaces-scraped.json","","REM-102765-XT","Remii","Remii 65 Inch Extra Tall Electric Linear Fireplace"
"electric-fireplaces-scraped.json","","REM-102765-DE","Remii","Remii 65 Inch Deep Electric Linear Fireplace"
"electric-fireplaces-scraped.json","","REM-40-BAY-SLIM","Remii","Remii Smart Built-In Bay Front Slim 40 Electric Fireplace"
"electric-fireplaces-scraped.json","","REM-CLASSIC-SLIM-30","Remii","Remii Classic Slim 30 Smart Electric Fireplace"
"electric-fireplaces-scraped.json","","REM-60-BAY-SLIM","Remii","Remii Smart Built-In Bay Front Slim 60 Electric Fireplace"
